# ----------------------------------------
# Aquisição de tráfego: Grupo principal de canais da sessão (Agrupamento de canais padrão)
# Conta: Tecnologia Corporativa
# Propriedade: Nota Fácil Downloader
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20260417
# Data de término: 20260514
Grupo principal de canais da sessão (Agrupamento de canais padrão),Sessões,Sessões engajadas,Taxa de engajamento,Tempo médio de engajamento por sessão,Eventos por sessão,Contagem de eventos,Eventos principais,Taxa de eventos principais da sessão,Receita total
Paid Search,173,77,0.44508670520231214,20.179190751445088,4.716763005780347,816,10,0.023121387283236993,0
Display,101,26,0.25742574257425743,9.396039603960396,3.712871287128713,375,0,0,0
Direct,83,46,0.5542168674698795,42.8433734939759,4.903614457831325,407,4,0.024096385542168676,0
Referral,53,32,0.6037735849056604,44.43396226415094,5.90566037735849,313,18,0.07547169811320754,0
Cross-network,5,5,1,22.6,7.8,39,0,0,0
Organic Search,5,2,0.4,74.6,5.2,26,0,0,0
Organic Social,4,2,0.5,1.5,3.5,14,0,0,0
Unassigned,0,0,0,0,0,82,30,0,37.91
