Relatório de campanha
Todo o período
Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Código da moeda,Status,Motivos do status,Pontuação de otimização,Tipo de campanha,Conversões,Taxa de conv.,Custo / conv.,Impr.,Cliques,CTR,Custo
Ativada,[Display] - Segmentação Portal Contábeis,"50,00", --,Diário,BRL,Qualificado (aprendizado),estratégia de lances com aprendizado em andamento,"82,92",Display,"1,00","0,32%","164,90",65.912,316,"0,48%","164,90"
Total: Campanhas, --, --, --, --,BRL, --,, --, --,"1,00","0,32%","164,90",65.912,316,"0,48%","164,90"
Total: Campanha,,,,,BRL,,,,,"1,00","0,32%","164,90",65.912,316,"0,48%","164,90"
