Relatório de campanha
Todo o período
Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Código da moeda,Status,Motivos do status,Pontuação de otimização,Custo,CTR,Impr.,CPC méd.,Conversões,Custo / conv.
Ativada,[Pesquisa] - Leads - Nota Fácil,"80,00", --,Diário,BRL,Qualificado (limitado),sua meta não tem uma ação de conversão principal; limitada pelo volume de pesquisas,"74,41","1211,03","10,76%",5.798,"1,94","53,00","22,85"
Total: Campanhas, --, --, --, --,BRL, --,, --,"1211,03","10,76%",5.798,"1,94","53,00","22,85"
Total: Campanha,,,,,BRL,,,,"1211,03","10,76%",5.798,"1,94","53,00","22,85"
